categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Different facial expressions can cause wrinkles, such as laughlines from smiling and frown lines from seeing a baby get attention just for eating spaghetti. Even things out with this voucher.,Choose from Three Options,$49 for one diamond-tip microdermabrasion (up to a $199 value),$89 for two diamond-tip microdermabrasions (up to a $398 value),$129 for three diamond-tip microdermabrasions (up to a $597 value)",Deify Laser & Beauty Lounge,"Limited Time Remaining!,40+ viewed today,2,421 Ratings","One, Two, or Three Diamond-Tip Microdermabrasions at Deify Laser & Beauty Lounge (Up to 78% Off)",Deify,New York,"2,421 Ratings",https://www.groupon.com/deals/deify-laser-and-beauty-lounge-4
"Local,Beauty & Spas,Massage","What You'll Get,Wax is used to both remove hair and build sculptures, making it the most versatile substance to have on hand when you want to pay homage to Patrick Stewart. Trek toward smoothness with this voucher.,Choose Between Two Options,$25 for one,Brazilian bikini wax,with Lycon stripless wax (up to a $70 value),$45 for two Brazilian bikini waxes with Lycon stripless wax (up to a $140 value)<p>,_Though Davidov Hair and Spa sometimes features a discounted price online, this voucher still offers the best deal available._",Davidov Hair and Spa,"Limited Time Remaining!,Up to 68% Off,772 Ratings",One or Two Brazilian Bikini Waxes with Lycon Stripless Wax at Davidov Hair and Spa (Up to 68% Off),Midtown Manhattan,New York,772 Ratings,https://www.groupon.com/deals/mikhail-davydov
"Local,Food & Drink,Restaurants,Italian Restaurants","What You'll Get,Choose from Four Options,$18 for $35 toward dinner for two or more, valid Sunday–Thursday,$35 for $70 toward dinner for four or more, valid Sunday–Thursday,$20 for $35 toward dinner for two or more, valid any day,$39 for $70 toward dinner for four or more, valid any day,Click to see the,menu",Frank Anthony's Restaurant,"Limited Time Remaining!,Selling fast!,605 Ratings",Italian Cuisine at Frank Anthony's (Up to 50% Off). Four Options Available.,Montclair Heights,New York,605 Ratings,https://www.groupon.com/deals/frank-anthony-s-restaurant
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,Choose Between Two Options,$39 for a meal for two with one appetizer, two entrees or hot pot for two, one dessert, and two glasses of wine or beer ($77.90 value),$69 for a meal for four with two appetizers, four entrees or hot pot for four, two desserts, and four glasses of wine or beer ($155.80 value)",Famous Sichuan,"Limited Time Remaining!,90+ viewed today,542 Ratings",Three-Course Lunch or Dinner for Two or Four at Famous Sichuan (Up to 56% Off),Chinatown,New York,542 Ratings,https://www.groupon.com/deals/famous-sichuan
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,$15 for $30 worth of sushi and Japanese cuisine,Click to view the,menu,This Groupon is not valid for the sushi deluxe special or sushi regular ani special.",Ani Sushi,"Limited Time Remaining!,40+ viewed today,567 Ratings",$15 for $30 Worth of Sushi and Japanese Cuisine at Ani Sushi,Brooklyn Heights,New York,567 Ratings,https://www.groupon.com/deals/ani-sushi
"Local,Beauty & Spas,Massage,Full Body Massage","What You'll Get,Choose from Three Options,$39 for a 60-minute massage ($85 value),$59 for a 90-minute massage ($127 value),$69 for a 60-minute massage with 60-minute foot massage ($130 value),Customers may choose any massage from the spa’s,service menu,, including Swedish, deep-tissue, shiatsu, or hot-stone modalities.",MessLook,"Limited Time Remaining!,100+ viewed today,614 Ratings",60- or 90-Minute Massage or a One-Hour Massage and One-Hour Foot Massage Package (Up to 54% Off),Chinatown,New York,614 Ratings,https://www.groupon.com/deals/messlook
"Local,Beauty & Spas,Spas,Day Spas","What You'll Get,Choose from Three Options,$45 for one 60-minute Swedish massage or 60-minute facial ($100 value),$79 for one 60-minute Swedish massage, one 45-minute facial, and one manicure or pedicure ($195 value),$89 for one 60-minute couple’s Swedish massage ($210 value)",Queen Jane Day Spa - 28th St.,"Limited Time Remaining!,150+ viewed today,1,793 Ratings","Swedish Massage or Facial with Optional Mani or Pedi, or Couple's Massage at Queen Jane Day Spa (Up to 59% Off)",Queen Jane Day Spa,New York,"1,793 Ratings",https://www.groupon.com/deals/queen-jane-day-spa-8
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choose from Three Options,$9 for one underarm waxing ($15 value),$19 for one women’s half-lower leg waxing ($45 value),$19 for one women’s half-arm waxing ($40 value)",Brazil Rio Spa,"Limited Time Remaining!,20+ viewed today,467 Ratings","Underarm, Half-Lower Leg, or Half-Arm Waxing at Brazil Rio Spa (Up to 58% Off)",Tribeca,New York,467 Ratings,https://www.groupon.com/deals/brazil-rio-spa-6
"Local,Personal Services,Photography,Photographers","What You'll Get,Choose Between Two Options,$20 for a boudoir photo package ($369 value),One-hour photo shoot with four outfit changes,80–90 images to choose from,One 4”x6” mounted print,One fully retouched digital file of the same image,$25 image credit,Mini gift bag,$35 for a deluxe boudoir photo package ($488 value),One-hour photo shoot with four outfit changes,80–90 images to choose from,Two 5”x7” mounted prints,Fully retouched digital files of the same images,$50 image credit,Mini gift bag,After clients arrive for their appointment at Celebrate Your Sexy with their hair and makeup ready, a professional photographer ensures they are comfortable before capturing figure-flattering poses in four different outfits. After the shoot, clients can schedule a viewing appointment to select which poses will be made into prints and digital images.,Read more about what to expect",Celebrate Your Sexy,"Limited Time Remaining!,80+ viewed today,551 Ratings",Boudoir Photo Shoot Package with Prints at Celebrate Your Sexy (95% Off). Two Options Available.,Midtown East,New York,551 Ratings,https://www.groupon.com/deals/celebrate-your-sexy-55
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 15% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Lili's 57,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 15% Cash Back,10% Cash Back After That",15% Cash Back at Lili's 57,Theater District,New York,2 Ratings,https://www.groupon.com/deals/lilis-57-4233321
"Local,Food & Drink,Cafes & Treats,Bakeries","What You'll Get,Choose Between Two Options,$19.90 for a box of one dozen gourmet macarons ($32.90 value),$59 for a box of 40 gourmet macarons ($102.50 value),The box of one dozen macarons includes six different flavors—such as salted caramel, vanilla bean, and lemon—while the 40-count box includes eight different flavors.",Mille-feuille Bakery Cafe,"Limited Time Remaining!,70+ viewed today,1,488 Ratings",12 or 40 Gourmet Macarons at Mille-Feuille (Up to 42% Off),Downtown Manhattan,New York,"1,488 Ratings",https://www.groupon.com/deals/mille-feuille-bakery-cafe
"Local,Food & Drink,Restaurants,Middle Eastern Restaurants","What You'll Get,Falafel, Eggplant and Hummus Spread Appetizer, One Mixed Grill Patter and Wine for Two",BZ Grill,"Limited Time Remaining!,50+ viewed today,785 Ratings",$27 for Middle Eastern Cuisine at BZ Grill ($54.75 Value),Astoria,New York,785 Ratings,https://www.groupon.com/deals/bz-grill-1-3
"Local,Beauty & Spas,Hair Removal,Laser Hair Removal,Small Area,Bikini line,Underarms,Lip,Chin,Sideburns,Back of the neck,Abdomen trail,Areola,Feet,Hands,Both knees,Shoulders,Inner Buttocks,Large Area,Brazilian not including inner buttocks and extended bikini line - females only,Full face including lip, chin, cheeks, and sideburns,Half arms,Half legs from below the knee down,Lower back,Full butt not including inner buttocks","What You'll Get,Choice of:,One Laser Hair-Removal Treatment for a Small Area,One Laser Hair-Removal Treatment for a Large Area,Three Laser Hair-Removal Treatments for a Small Area,Three Laser Hair-Removal Treatments for a Large Area,Six Laser Hair-Removal Treatments for a Small Area,Six Laser Hair-Removal Treatments for a Large Area,Laser Hair Removal: Freeing Follicles with a Flash,Laser hair removal can effectively eliminate unwanted hair in just a few treatments. Read on to learn more about how a beam of light results in smooth skin.,Laser hair-removal treatments eliminate unwanted hair using a focused beam of light at a fixed wavelength. This light naturally targets a type of pigment known as melanin—the same chemical responsible for skin tanning—within the hair follicles, heating the follicles that are in their active growth phase to discourage future hairs from sprouting. Because the melanin absorbs the focused light, IPL treatments can eliminate hair while having little impact and causing only limited irritation to surrounding skin cells. However, this basic principle also limits the conditions in which IPL treatments can be effective. Those with darker skin and fairer hair, for instance, may require extra sessions, and gray hairs—that is, hairs that lack melanin altogether—are too wise and set in their ways to be affected. Tanning may affect the melanin in the hair as well, so patients are discouraged from sunbathing before their treatment.,What to Expect,Although there are different types of laser hair-removal devices, most have the same basic functionality. In a typical treatment, a technician presses a handheld laser device against a target area, emitting a quick pulse of light that can treat multiple hairs at once in a split second; for most patients, this will feel like someone is pinching the area of skin being treated. Most devices also have a gentle vacuum on the end that sucks hair and skin toward the laser emission, making it easier to target the follicles.",Brazilian Laser Center,"Limited Time Remaining!,300+ viewed today,48 Ratings",Laser Hair-Removal Treatments for a Small or Large Area at Brazilian Laser Center (Up to 92% Off),Brazilian Laser Center,New York,48 Ratings,https://www.groupon.com/deals/brazilian-laser-center-1
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choice of:,Deep Conditioning Treatment with Blowout,Haircut, Style, and Partial Highlights or Single-Process Color,Haircut, Style, and Full Highlights,Haircut, Style, and Balayage or Ombre,Free car service provided for Groupon clients.",Stage NYC Hair Salon,"Limited Time Remaining!,70+ viewed today,71 Ratings",Salon Services at NYC Hair Salon (Up to 62% Off). Four Options Available.,Hell's Kitchen,New York,71 Ratings,https://www.groupon.com/deals/stage-nyc-hair-salon-3
"Local,Beauty & Spas,Massage","What You'll Get,Choose from Four Options,$39 for a 60-minute Swedish massage ($68 value),$45 for a 60-minute deep-tissue massage ($78 value),$55 for a 60-minute aromatherapy massage ($98 value),$75 for a 60-minute Swedish couples massage ($130 value)",Eastern Health Connection Plus Inc.,"Limited Time Remaining!,100+ viewed today,255 Ratings","Swedish, Deep-Tissue, Aromatherapy, or Couples Massage at Eastern Health Connection Plus Inc. (Up to 44% Off)",Eastern Health Connection Plus INC.,New York,255 Ratings,https://www.groupon.com/deals/eastern-health-connection-plus-inc
"Local,Food & Drink,Restaurants,Vegetarian Restaurants","What You'll Get,Three $8 Vouchers Toward Food and Smoothies",Green Symphony,"Limited Time Remaining!,40+ viewed today,297 Ratings",Food and Smoothies at Green Symphony (Up to 42% Off),Theater District,New York,297 Ratings,https://www.groupon.com/deals/green-symphony
"Local,Beauty & Spas,Nail Salons,No-Chip / Gel Manicures","What You'll Get,Choice of:,One Gel Manicure,Three Gel Manicures",Salon Vollo,"Limited Time Remaining!,40+ viewed today,80 Ratings",One or Three Gel Manicures from Salon Vollo (Up to 60% Off),Midtown Manhattan,New York,80 Ratings,https://www.groupon.com/deals/salon-vollo-6
"Local,Beauty & Spas,Massage,Full Body Massage","What You'll Get,Choice of:,One 60-Minute Full Body Massage,One 90-Minute Full Body Massage",NYC Midtown Chiropractic,"Limited Time Remaining!,100+ viewed today,13 Ratings",One 60- or 90-Minute Full Body Massage at NYC Midtown Chiropractic (Up to 51% Off),New York,New York,13 Ratings,https://www.groupon.com/deals/nyc-midtown-chiropractic-1
